"Event Time","Exit Event ID","POS Transaction ID","EPC","Site Code","Read Point","Last Read Time","Product Code","Color","Size","Manuf","Article","Ref Number","Style","att1","att2"
"2022-04-22T04:45:14Z","Event ID 7","POS Transaction ID 4","EPC 3","SiteCode5","READ POINT 3","2023-01-24T13:46:23Z","Product 3","Yellow","M","Adidas","Article7","Ref5","Style3","check2","atts"
"2022-02-08T18:39:11Z","Event ID 2","POS Transaction ID 1","EPC 4","SiteCode15","READ POINT 5","2022-06-18T14:39:55Z","Product 5","Black","XL","Nike","Article3","Ref8","Style7","check1","att2"
"2023-02-18T07:46:22Z","Event ID 4","POS Transaction ID 3","EPC 1","SiteCode4","READ POINT 3","2023-04-28T03:15:19Z","Product 5","Yellow","XL","Zara","Article5","Ref3","Style1","check1","atts"
"2022-11-24T19:38:58Z","Event ID 9","POS Transaction ID 3","EPC 3","SiteCode4","READ POINT 5","2023-02-28T03:23:58Z","Product 4","Yellow","XXXL","Adidas","Article7","Ref6","Style8","check3","att3"
"2022-07-21T09:20:53Z","Event ID 9","POS Transaction ID 6","EPC 3","SiteCode14","READ POINT 4","2022-08-03T12:49:03Z","Product 5","Green","XXXL","Madame","Artical4","Ref5","Style7","check3","att2"
"2023-01-31T23:43:37Z","Event ID 2","POS Transaction ID 6","EPC 4","SiteCode5","READ POINT 4","2022-09-09T21:05:51Z","Product 3","Orange","XXL","Puma","Artical4","Ref6","Style7","check3","atts"
"2021-02-27T22:43:47Z","Event ID 7","POS Transaction ID 4","EPC 4","SiteCode10","READ POINT 1","2022-07-31T23:14:05Z","Product 5","Blue","M","Bata","Article1","Ref7","Style5","check3","att3"
"2021-12-07T20:04:25Z","Event ID 2","POS Transaction ID 4","EPC 4","SiteCode13","READ POINT 5","2023-01-09T01:01:12Z","Product 4","White","M","Bata","Artical4","Ref3","Style4","check1","att2"
"2022-12-10T02:09:10Z","Event ID 8","POS Transaction ID 2","EPC 5","SiteCode13","READ POINT 2","2022-11-02T14:01:33Z","Product 2","Red","XS","Lee Cooper","Article1","Ref2","Style3","check3","att4"
"2021-10-31T13:10:11Z","Event ID 8","POS Transaction ID 6","EPC 3","SiteCode9","READ POINT 1","2022-07-07T02:08:59Z","Product 2","Black","M","Zara","Article1","Ref3","Style3","check2","att2"
"2020-09-16T13:00:22Z","Event ID 2","POS Transaction ID 2","EPC 1","SiteCode11","READ POINT 1","2022-09-01T12:08:08Z","Product 4","Black","XXS","Bata","Article3","Ref3","Style1","check1","att3"
"2020-07-29T14:59:23Z","Event ID 5","POS Transaction ID 3","EPC 3","SiteCode1","READ POINT 5","2022-06-24T12:04:24Z","Product 5","Red","XS","Adidas","Article5","Ref7","Style4","check2","atts"
"2022-08-21T18:09:46Z","Event ID 8","POS Transaction ID 5","EPC 3","SiteCode7","READ POINT 1","2023-03-18T02:25:46Z","Product 3","Pink","XL","Nike","Artical4","Ref3","Style7","check2","att4"
"2021-10-21T17:45:49Z","Event ID 3","POS Transaction ID 2","EPC 4","SiteCode2","READ POINT 1","2022-08-23T15:11:48Z","Product 3","Yellow","XS","Zara","Article7","Ref3","Style2","check3","atts"
"2023-05-07T15:52:18Z","Event ID 7","POS Transaction ID 6","EPC 5","SiteCode12","READ POINT 1","2023-03-12T01:19:39Z","Product 2","Yellow","XXS","Nike","Article8","Ref4","Style8","check3","atts"
"2022-11-01T16:06:42Z","Event ID 5","POS Transaction ID 3","EPC 1","SiteCode3","READ POINT 3","2023-04-26T16:09:45Z","Product 2","Blue","XS","Madame","Article2","Ref5","Style3","check1","att4"
"2021-08-09T10:22:19Z","Event ID 6","POS Transaction ID 3","EPC 1","SiteCode15","READ POINT 1","2022-07-15T08:14:51Z","Product 4","White","M","Lee Cooper","Article5","Ref6","Style6","check3","att2"
"2022-02-26T09:03:00Z","Event ID 5","POS Transaction ID 1","EPC 3","SiteCode4","READ POINT 2","2022-10-29T20:01:14Z","Product 4","White","XL","Zara","Article8","Ref6","Style6","check3","att3"
"2021-02-18T19:23:31Z","Event ID 8","POS Transaction ID 1","EPC 4","SiteCode12","READ POINT 2","2023-06-16T19:41:59Z","Product 2","White","XXS","Nike","Article7","Ref1","Style5","check3","att2"
"2022-12-23T23:46:32Z","Event ID 9","POS Transaction ID 4","EPC 5","SiteCode14","READ POINT 4","2022-12-24T04:43:59Z","Product 2","Red","XXL","Adidas","Article5","Ref7","Style1","check1","att4"
